InvestorID,Investor,RiskTolerance,TimeHorizon,IncomeNeeds,LiquidityNeeds,TaxConsiderations,AccountType,Age,InvestmentExperience,OtherAssets,RiskCapacity
42,XKLIZW,High,Medium term,103924,Moderate,Yes,IRA,63,Novice,493640,Moderate
43,EJWZSACBI,Moderate,Long term,182951,High,Yes,Taxable,66,Novice,233895,Moderate
44,JHEVQDRX,Low,Medium term,77778,Low,No,Taxable,61,Novice,137354,Moderate
45,DZGVQDG,High,Medium term,182310,High,No,IRA,49,Experienced,312034,Moderate
46,CKRFVQYP,Moderate,Long term,197534,Low,Yes,401k,52,Experienced,602662,Low
47,ISAGWQQ,Low,Medium term,105183,High,No,IRA,69,Experienced,833206,Low
48,MRTEXFUSX,Low,Medium term,51582,High,No,IRA,67,Novice,277091,Low
49,BSMIMZEVZ,High,Short term,98861,Low,Yes,Taxable,69,Experienced,247066,Low
50,QRCMCSZNL,Moderate,Short term,110957,Low,No,Taxable,33,Experienced,779556,Moderate
51,VSFJPZ,Moderate,Short term,91515,Moderate,Yes,401k,41,Novice,471385,Low
52,JTCLJNZ,Low,Long term,179009,Low,Yes,Taxable,32,Experienced,499639,Moderate
53,VRFZYM,High,Medium term,65094,Low,No,Taxable,66,Experienced,182803,Moderate
54,MHCYYH,Moderate,Medium term,127776,High,Yes,401k,57,Experienced,452018,High
55,CMAIOBC,Low,Short term,192617,Moderate,No,401k,55,Experienced,120050,Moderate
56,HJNYCXEZ,Low,Long term,120705,High,Yes,401k,60,Novice,845092,High
57,NAAXP,Low,Short term,161889,Moderate,No,Taxable,31,Experienced,783280,Low
58,IUBUPQUR,High,Long term,100405,Low,No,Taxable,57,Novice,906644,High
59,WZIFAT,High,Long term,195383,Low,Yes,Taxable,31,Novice,291149,High
60,ZOCSFZXNB,Moderate,Short term,180102,Low,Yes,IRA,25,Experienced,975823,High
61,FFLJFP,Low,Long term,151738,High,No,Taxable,51,Novice,241373,High
62,JRGSJMV,Low,Long term,151009,Moderate,No,Taxable,34,Novice,271758,High
63,IEUZPJXEV,Moderate,Long term,81987,High,Yes,401k,44,Novice,723846,High
64,PHMNX,High,Short term,101071,High,No,Taxable,40,Experienced,331245,Moderate
65,VKKCAE,High,Medium term,66667,Moderate,Yes,401k,64,Experienced,995198,High
66,OFHLQ,High,Medium term,142944,Moderate,Yes,Taxable,64,Experienced,169989,Low
67,DGYBHY,High,Long term,84420,High,No,401k,31,Experienced,898499,Low
68,JYVCVKL,High,Medium term,112870,Moderate,No,401k,44,Experienced,253199,Moderate
69,EWNFWXOQR,Moderate,Medium term,111045,Low,Yes,401k,65,Experienced,910070,Low
70,OQNINYZZL,Low,Medium term,92297,Low,No,IRA,72,Experienced,842054,High
71,KYZFC,Moderate,Long term,139108,Moderate,No,Taxable,25,Novice,380232,Moderate
72,LGUZFBXQ,Low,Short term,78719,Moderate,No,IRA,64,Experienced,133104,Moderate
73,UXFFBP,Moderate,Short term,59216,Low,No,IRA,70,Experienced,627133,High
74,VRFIFEPIS,High,Medium term,70659,Moderate,Yes,401k,25,Experienced,745764,High
75,GXTEQEIXP,Moderate,Short term,73720,High,No,IRA,60,Novice,956991,Low
76,UOGESDOHY,High,Long term,70969,Low,No,401k,43,Novice,266679,Moderate
77,UBAOB,Moderate,Short term,95776,Low,Yes,Taxable,32,Experienced,874211,Low
78,KEBHC,High,Long term,94205,High,Yes,401k,25,Novice,113748,Low
79,EJJKRZ,High,Short term,66584,Low,Yes,Taxable,43,Novice,956691,Low
80,DMOZTXZPY,Moderate,Short term,145683,Low,Yes,401k,36,Experienced,552908,Moderate
81,NPHYV,High,Long term,170305,High,No,Taxable,34,Experienced,611592,Low
82,VVIVVPZ,Moderate,Long term,130405,Low,Yes,IRA,66,Experienced,631533,Low
83,IZBHBKJ,Moderate,Long term,160587,Low,Yes,Taxable,30,Novice,294881,Moderate
84,SEACBF,High,Long term,158917,Low,No,401k,53,Experienced,710116,Moderate
85,SWLOZUOG,Moderate,Medium term,90525,Low,No,Taxable,51,Experienced,963316,Moderate
86,XXOJG,Moderate,Long term,71172,High,No,IRA,64,Experienced,381580,Moderate
87,ICXAERER,Low,Long term,63723,Moderate,No,401k,37,Experienced,164879,Low
88,VAINEYE,Low,Short term,179411,Low,No,Taxable,60,Experienced,799630,High
89,DHQTHSSE,Moderate,Short term,154743,Moderate,No,IRA,50,Novice,513960,High
90,GTBTFOOWX,High,Medium term,50165,Moderate,No,Taxable,63,Experienced,328287,Moderate
91,IMEXQ,High,Short term,198926,Low,Yes,401k,36,Experienced,369596,Low
92,TYIXK,Moderate,Short term,171787,Moderate,Yes,Taxable,60,Novice,709094,Moderate
93,RCYHI,High,Short term,152082,High,No,Taxable,45,Novice,944114,High
94,CSVFBPJFJ,Low,Long term,83874,Low,No,IRA,43,Novice,447123,Low
95,ESYGK,Moderate,Medium term,120458,Moderate,Yes,IRA,63,Experienced,810395,Moderate
96,RRVIVIUL,Low,Medium term,147112,Moderate,Yes,IRA,53,Novice,816438,Low
97,ULSAV,Moderate,Long term,59825,Moderate,No,IRA,73,Novice,964109,High
98,ZDFHXQZJ,Moderate,Long term,88317,Low,Yes,401k,71,Novice,721765,Moderate
99,TKKBPH,Moderate,Short term,116793,Moderate,No,IRA,41,Experienced,382260,High
100,PXIDPKXI,Moderate,Medium term,86122,Low,No,IRA,29,Experienced,525086,High
101,OCVOCWUK,Moderate,Medium term,80844,High,No,401k,30,Novice,251386,High
102,OEYNNWU,Moderate,Long term,188347,Moderate,Yes,IRA,72,Novice,449937,Moderate
103,ZHHAYRVU,High,Long term,109578,Moderate,No,Taxable,52,Experienced,422382,Low
104,HQDTBHSL,Low,Long term,75954,Moderate,Yes,IRA,73,Novice,747116,Low
105,DHXXNDUY,High,Long term,66318,Low,Yes,Taxable,25,Experienced,758624,Moderate
106,PITAVEI,High,Short term,88146,High,No,401k,51,Novice,285651,Low
107,EVJHWFRM,Moderate,Long term,66205,Moderate,Yes,IRA,60,Novice,221943,High
108,UONNP,Low,Long term,155954,Moderate,Yes,IRA,32,Experienced,748701,Moderate
109,AZYTX,Low,Short term,95021,Low,No,Taxable,45,Novice,828383,Moderate
110,CXLWPY,Low,Long term,72618,High,Yes,IRA,48,Experienced,142570,Low
111,MZJAMSO,Moderate,Long term,133133,High,No,Taxable,49,Experienced,674807,Moderate
112,VNQIRQD,High,Medium term,116649,Low,No,401k,40,Novice,744773,Moderate
113,HFRPENM,Moderate,Short term,69802,Moderate,Yes,401k,64,Novice,650799,Low
114,YGRGTUCT,High,Medium term,105145,High,No,Taxable,32,Novice,751357,Low
115,JYHZJUOT,High,Medium term,92068,High,No,IRA,64,Novice,331598,High
116,JLEPDJH,High,Long term,165114,High,Yes,401k,41,Experienced,450773,High
117,DNJHQGGA,High,Long term,106532,Low,Yes,IRA,39,Novice,151996,High
118,WIVILCWU,High,Long term,109428,Low,No,IRA,59,Experienced,837563,Low
119,XBUKTEES,Moderate,Short term,128713,Low,No,Taxable,55,Novice,806315,High
120,QODAJTLJ,High,Medium term,58812,High,No,IRA,51,Experienced,884939,Moderate
121,SXLNMEHUF,Low,Long term,197499,Low,Yes,Taxable,65,Novice,918447,Moderate
122,LMXGTLAX,Low,Long term,179260,High,Yes,Taxable,48,Novice,673534,High
123,HBYNAUN,Low,Long term,171209,High,No,IRA,53,Novice,285765,Low
124,FCLIPBW,Low,Long term,167477,Low,Yes,401k,69,Novice,882739,High
125,ACAAIE,Low,Medium term,167351,High,Yes,IRA,36,Novice,942251,High
126,BTBJOY,High,Long term,60316,Low,No,IRA,62,Novice,737441,High
127,WQNQSE,Low,Medium term,125698,High,Yes,Taxable,63,Novice,827498,Moderate
128,UMPBECPXD,Low,Long term,111425,Low,Yes,401k,35,Experienced,267078,Low
129,BWNZUF,Moderate,Short term,146992,Moderate,No,Taxable,42,Novice,538440,Low
130,UDUCRUOIA,High,Medium term,149064,Low,Yes,401k,48,Novice,360536,Moderate
131,BINNBDNB,Moderate,Short term,182999,Moderate,Yes,IRA,55,Experienced,351132,Low
132,KXFNVSNNC,High,Medium term,149430,Moderate,No,401k,53,Novice,819605,Moderate
133,ZUMZWRGQI,High,Short term,167028,Low,No,Taxable,28,Experienced,177110,Low
134,MNNRL,High,Long term,128306,Low,Yes,Taxable,55,Experienced,611015,Moderate
135,IFHXNKOJ,Moderate,Short term,83947,High,No,IRA,54,Experienced,363835,Moderate
136,JYCEUUU,High,Short term,75392,High,No,Taxable,61,Novice,874188,Moderate
137,DRMVHFZ,Moderate,Medium term,188381,Low,No,Taxable,49,Novice,554192,Low
138,BFMGORF,Low,Long term,125915,High,No,IRA,68,Novice,934604,High
139,ZMIUHC,Moderate,Medium term,116914,Moderate,Yes,IRA,31,Experienced,371135,High
140,CQNBRO,Low,Long term,196314,Moderate,No,401k,48,Experienced,234602,Low
141,BAYPA,Moderate,Long term,115080,Low,No,IRA,39,Experienced,375392,Moderate
142,KNBBBMMU,Moderate,Short term,174675,High,No,401k,44,Experienced,189289,High
143,MWOCBPEBH,Low,Medium term,82892,Moderate,Yes,IRA,55,Experienced,883132,Moderate
144,HPKOVL,Moderate,Short term,83704,Low,No,Taxable,67,Experienced,684782,Low
145,ORPPO,Low,Medium term,89254,Low,Yes,401k,65,Experienced,651413,High
146,NPSTNRPYT,Moderate,Long term,136613,High,Yes,401k,51,Experienced,213526,High
147,ETLDDURDI,High,Short term,181537,High,Yes,401k,51,Novice,974032,Low
148,ZVJWPO,High,Long term,98369,Moderate,No,IRA,70,Novice,874347,Moderate
149,PBKJECGGZ,High,Long term,124511,Low,Yes,IRA,38,Experienced,584639,Moderate
150,LWHEREN,Low,Long term,139494,High,No,401k,59,Novice,192187,Moderate
151,FMHHVHTM,Moderate,Long term,153053,Moderate,Yes,Taxable,51,Experienced,613947,Moderate
152,LHVIJV,High,Long term,119618,Low,No,Taxable,28,Novice,106482,Low
153,KACSYQT,Low,Medium term,134688,Moderate,No,IRA,73,Novice,889857,Moderate
154,JKPKXRIL,High,Long term,95781,Moderate,No,401k,71,Novice,172166,High
155,TFZLAPQ,Low,Short term,162514,High,Yes,IRA,51,Experienced,658827,Low
156,UXBIW,High,Short term,135366,Moderate,No,IRA,34,Experienced,384000,High
157,JZKJMCR,Low,Long term,156471,High,No,401k,52,Experienced,652804,High
158,TNNDP,Low,Long term,179210,Low,No,IRA,38,Experienced,719859,High
159,PDYZZBNG,High,Medium term,128848,Moderate,Yes,401k,47,Experienced,409762,Low
160,LZWQB,High,Long term,129627,High,No,401k,38,Experienced,387397,High
161,YIVQC,High,Long term,168689,Moderate,Yes,401k,25,Novice,763169,Moderate
162,DOSRGSTFB,High,Short term,110893,High,No,IRA,34,Experienced,329081,Low
163,LJAWQ,High,Medium term,89016,Low,No,401k,29,Experienced,458577,Moderate
164,ZAAPNR,Moderate,Long term,54524,Low,No,401k,46,Experienced,715355,Moderate
165,CVZJCV,High,Long term,163737,High,Yes,Taxable,29,Experienced,944489,High
166,IOQANC,Low,Medium term,120323,Moderate,No,Taxable,49,Novice,602256,Low
167,IZSVTD,Moderate,Long term,95663,Moderate,No,IRA,55,Novice,772044,Moderate
168,GJWFFI,Low,Long term,101748,Moderate,Yes,IRA,27,Novice,248750,Low
169,NQNERTBFH,High,Medium term,91143,Moderate,Yes,401k,60,Novice,959101,High
170,XPKMYOF,Moderate,Medium term,73750,High,No,IRA,35,Novice,548166,Low
171,AKRRCCR,High,Short term,55905,Low,No,IRA,45,Novice,494268,High
172,MQQIFC,High,Short term,176428,Low,No,401k,28,Novice,322461,Moderate
173,HDAPHW,High,Long term,135714,Moderate,No,401k,28,Experienced,252991,High
174,RXBKBT,High,Medium term,55029,High,No,IRA,63,Novice,685045,Low
175,NRSQT,High,Medium term,52704,High,Yes,Taxable,26,Experienced,219534,High
176,FYVLZD,Low,Short term,106468,High,No,401k,42,Experienced,563138,Moderate
177,XPKPQOQ,Moderate,Medium term,187985,Low,Yes,IRA,28,Novice,477086,Moderate
178,IXRCU,Moderate,Short term,176072,High,Yes,IRA,55,Novice,801961,High
179,GRSRQ,Low,Short term,61707,High,Yes,401k,49,Experienced,803543,Moderate
180,JRODYTQ,Low,Medium term,75328,Moderate,No,IRA,70,Novice,847479,High
181,TBUFGB,Moderate,Long term,147226,Low,Yes,401k,35,Experienced,416597,High
182,XUWJU,High,Short term,56081,Moderate,No,Taxable,49,Novice,373141,Low
183,BYAXI,Moderate,Short term,134246,Moderate,Yes,Taxable,69,Novice,564651,Moderate
184,OBKQQPIRW,Moderate,Medium term,78092,High,Yes,Taxable,46,Novice,160816,Low
185,ORVZUFVL,Moderate,Long term,197836,Moderate,No,Taxable,30,Experienced,975188,Moderate
186,NWYVDXEM,Low,Short term,141631,Moderate,No,IRA,53,Experienced,729503,High
187,RFNLWGP,Moderate,Medium term,91036,Moderate,No,Taxable,68,Experienced,431764,High
188,FOOOU,High,Long term,139251,Moderate,No,IRA,42,Novice,845448,Moderate
189,AYCENC,High,Medium term,178455,Moderate,No,Taxable,54,Novice,214154,Low
190,IKQZQFJ,Moderate,Medium term,163303,Moderate,No,IRA,50,Experienced,578947,High
191,GXLXF,Low,Short term,85956,High,No,401k,67,Experienced,939919,Low
192,GPTBNR,High,Long term,128499,Low,Yes,Taxable,63,Experienced,850937,Low
193,GMORLVIX,Low,Medium term,93358,High,Yes,Taxable,44,Novice,644350,Moderate
194,XDEYL,Low,Long term,196924,Moderate,Yes,401k,67,Novice,240665,High
195,IPEDCO,Low,Long term,162466,High,No,Taxable,29,Novice,429781,Moderate
196,VXUIN,Moderate,Short term,144583,Moderate,No,Taxable,68,Novice,595716,High
197,PTLARZBF,Low,Long term,132743,High,No,401k,35,Novice,471598,High
198,GCBSAA,Low,Long term,131338,Moderate,Yes,401k,31,Experienced,667999,Low
199,MKTCUKJ,High,Medium term,156856,High,Yes,IRA,26,Novice,750845,Moderate
200,BXMEBNU,High,Long term,194532,Moderate,No,401k,53,Novice,184173,Moderate
201,QMDCF,Moderate,Long term,170486,Moderate,Yes,IRA,63,Novice,236071,Low
202,ABBZO,Low,Short term,171091,Low,No,401k,56,Novice,719035,Low
203,UIKQZM,Moderate,Short term,98713,Low,Yes,IRA,55,Experienced,955447,High
204,ZLMHS,Moderate,Medium term,91466,High,No,401k,66,Novice,216643,Moderate
205,ELIZIALNW,High,Long term,143079,High,Yes,401k,51,Experienced,759951,Moderate
206,WUDCS,High,Short term,81156,High,No,Taxable,68,Experienced,944563,Low
207,PWPOG,Low,Long term,108765,Low,No,Taxable,61,Experienced,467963,Low
208,IIECYSIO,Low,Medium term,194992,Low,Yes,Taxable,38,Experienced,322893,High
209,TUVBW,Moderate,Long term,111145,High,No,Taxable,73,Novice,523613,Moderate
210,SUYXKDNI,High,Medium term,96579,Low,No,IRA,26,Novice,177603,High
211,VPRBMNKYS,Low,Short term,133671,Low,No,401k,71,Experienced,179337,High
212,ORWTJKU,Moderate,Short term,166605,Moderate,Yes,IRA,50,Novice,337895,Low
213,YOVVKW,High,Short term,183728,Moderate,No,Taxable,59,Novice,165500,Low
214,DRUCSJF,High,Long term,82106,Moderate,Yes,IRA,46,Experienced,804142,High
215,YGRBUMZY,High,Short term,61750,High,No,Taxable,45,Novice,723557,Moderate
216,KXQLCQTCG,Low,Short term,159792,Moderate,No,IRA,32,Experienced,172328,High
217,PSSMN,Low,Medium term,95896,High,No,IRA,29,Novice,722260,High
218,SGZFCN,Moderate,Long term,143504,Moderate,Yes,401k,42,Experienced,407942,Moderate
219,EBCKBVNPA,Low,Short term,146507,High,No,Taxable,32,Novice,526100,High
220,TNXHKA,Low,Short term,97563,Low,No,Taxable,72,Experienced,391256,Moderate
221,AHPDTWKP,Low,Short term,50306,Moderate,Yes,401k,61,Novice,807161,High
222,FCBYGFAU,Low,Long term,175773,Moderate,Yes,Taxable,71,Novice,143058,Low
223,MRRUVBBKS,Moderate,Medium term,92045,High,Yes,401k,69,Novice,398420,Moderate
224,QUOWUO,Moderate,Medium term,98855,High,Yes,IRA,27,Experienced,639593,High
225,UQSVBLS,Moderate,Long term,84644,Moderate,No,401k,73,Experienced,878976,Moderate
226,RQRGCXTPS,High,Medium term,149813,Low,No,401k,63,Experienced,138157,High
227,HZJNUI,Moderate,Medium term,182824,Low,Yes,Taxable,34,Experienced,927873,Moderate
228,AEDYH,Moderate,Medium term,126240,Moderate,No,Taxable,68,Experienced,100105,Low
229,BVSGZAI,High,Medium term,143482,Low,Yes,IRA,57,Experienced,293450,High
230,JSOWLIF,High,Long term,135319,Moderate,No,Taxable,53,Experienced,889449,High
231,BPVAP,High,Long term,70851,Moderate,Yes,Taxable,65,Experienced,171894,High
232,RPDDMBBG,High,Long term,172365,Moderate,No,Taxable,41,Experienced,802451,Moderate
233,WJUNV,Moderate,Short term,109658,Low,Yes,IRA,69,Novice,339678,High
234,DJXBPB,Low,Long term,67467,High,Yes,401k,64,Novice,537705,Moderate
235,SCNQWK,High,Medium term,82916,Low,No,IRA,31,Experienced,967542,Low
236,YCSVXNU,High,Medium term,57556,Low,No,IRA,43,Experienced,225081,Low
237,ZVAUHOEXZ,Low,Short term,90287,Moderate,Yes,401k,58,Novice,761108,High
238,OJIPBZV,Moderate,Long term,79057,Low,No,401k,62,Experienced,651165,Moderate
239,JELWDTJD,Low,Medium term,58735,High,Yes,401k,55,Novice,259347,Moderate
240,LSTRLHGJ,Low,Short term,176870,High,No,IRA,62,Experienced,746785,Low
241,GRLKMYWZ,Low,Long term,104431,Low,No,Taxable,58,Experienced,695168,Moderate
242,INMFI,Low,Short term,58689,Low,Yes,Taxable,68,Novice,597336,Low
243,QZKRKDLX,Low,Long term,95936,Low,Yes,IRA,49,Experienced,385288,High
244,JIQJFXT,Low,Long term,163022,High,Yes,Taxable,52,Novice,709027,Moderate
245,PJEAP,Low,Short term,153754,High,No,Taxable,47,Experienced,511823,High
246,DGWFDMH,High,Short term,169291,Moderate,No,401k,25,Experienced,725435,Moderate
247,MCIMO,Moderate,Short term,118835,High,Yes,Taxable,25,Novice,877422,Moderate
248,UHLFAIG,Moderate,Long term,66530,Moderate,No,IRA,45,Novice,942928,High
249,MSKAQB,Moderate,Long term,99324,High,No,401k,44,Experienced,678980,Moderate
250,RVMIFSAEP,Moderate,Medium term,60152,High,Yes,Taxable,58,Experienced,243820,Low
251,QCWRCPA,Moderate,Long term,186422,Low,Yes,Taxable,60,Novice,837849,Moderate
252,WGSYQKD,Low,Short term,122822,Low,Yes,401k,31,Novice,397098,High
253,HPNSA,Moderate,Long term,93813,High,Yes,IRA,58,Novice,544972,Low
254,JASDNE,Moderate,Long term,175630,Low,Yes,Taxable,51,Novice,326875,Moderate
255,FARAOQLDC,Low,Short term,150868,Low,No,401k,52,Experienced,986718,Moderate
256,NLFUWUWC,Low,Short term,123511,Low,Yes,401k,61,Novice,387097,High
257,JRSMZOUV,Low,Short term,157170,Low,No,Taxable,64,Experienced,671815,High
258,DDAUIF,Low,Medium term,162659,Low,No,IRA,28,Novice,269299,High
259,RGIECXURM,High,Medium term,147419,High,No,Taxable,42,Novice,603447,Low
260,PXQXVWE,Low,Long term,101763,High,No,IRA,46,Experienced,982798,High
261,AAUETLPFQ,High,Short term,62370,Moderate,No,401k,34,Novice,284533,Low
262,QOXLAUZYW,High,Short term,89133,Moderate,Yes,Taxable,58,Experienced,493358,High
263,BDRYSBYWD,High,Medium term,74196,Moderate,Yes,Taxable,48,Experienced,767146,Moderate
264,MIEBW,Low,Long term,174253,Low,Yes,Taxable,33,Experienced,356577,Low
265,RWGFMGBKK,High,Medium term,89416,Low,Yes,401k,43,Experienced,762324,High
266,WFETB,High,Long term,60411,Moderate,No,401k,37,Novice,351914,High
267,WHCYEXIL,High,Short term,80354,Moderate,No,401k,62,Novice,397663,Moderate
268,SDIXYUGX,Moderate,Medium term,98423,High,No,401k,35,Experienced,924169,High
269,NEGWXKP,Moderate,Medium term,190359,Low,No,401k,66,Experienced,836276,Moderate
270,UDEBRK,Moderate,Long term,105162,Low,Yes,IRA,44,Novice,926256,Moderate
271,LLVCXBRU,Low,Long term,63988,Low,Yes,401k,66,Novice,603846,Moderate
272,PZWEWX,Moderate,Medium term,168916,Moderate,Yes,Taxable,37,Experienced,533436,Low
273,CHSCDEOF,Moderate,Medium term,76569,Moderate,No,401k,65,Experienced,899752,Low
274,KBXJSQ,Moderate,Long term,144019,Moderate,No,401k,43,Novice,816729,Low
275,XSMTFO,Low,Long term,69482,Moderate,Yes,IRA,25,Experienced,537120,High
276,VYQJUEGK,Low,Short term,88963,Moderate,Yes,401k,71,Novice,126418,Moderate
277,HGDGPJQMK,High,Short term,157791,High,Yes,IRA,72,Novice,588354,High
278,SIJOSZIQ,Moderate,Long term,162519,High,Yes,401k,44,Novice,296742,Low
279,VJQTQRU,High,Medium term,122696,Moderate,No,IRA,44,Experienced,540014,Moderate
280,DHAZD,High,Medium term,150001,Low,Yes,IRA,69,Novice,201620,High
281,SZQMGKXK,Low,Medium term,152827,High,Yes,IRA,66,Experienced,565910,Low
282,FPTAAG,High,Medium term,159207,Moderate,No,Taxable,61,Experienced,683192,High
283,ROGCHUB,Moderate,Short term,189704,Moderate,Yes,Taxable,40,Novice,471773,Moderate
284,DDLCWFY,Moderate,Short term,165247,Low,Yes,401k,48,Novice,848510,High
285,IYBIA,High,Short term,97495,Low,No,Taxable,27,Novice,846822,Low
286,ETQBBQAWP,Low,Medium term,147447,Low,No,Taxable,36,Experienced,233005,Low
287,ZOTTELCL,Moderate,Medium term,87393,Low,No,401k,28,Experienced,563476,High
288,UXQKLLVB,Low,Medium term,140459,High,Yes,401k,65,Experienced,808226,Moderate
289,LWXVFME,High,Short term,70288,Low,No,401k,61,Novice,229068,Moderate
290,VUOOE,High,Long term,175986,High,No,Taxable,56,Novice,850235,Moderate
291,SEMKNKFBX,High,Short term,56020,Moderate,Yes,Taxable,32,Experienced,281042,High
292,JBSYQO,Low,Medium term,81918,High,No,IRA,55,Experienced,144943,High
293,FOIPKE,High,Long term,186073,Low,Yes,IRA,68,Novice,163616,Low
294,KHEJZMSH,Moderate,Medium term,187197,Low,Yes,IRA,28,Experienced,509393,Moderate
295,ZOLHR,Moderate,Medium term,96668,High,No,IRA,46,Experienced,918750,Moderate
296,LCRNNWRC,Moderate,Long term,138987,High,No,IRA,29,Experienced,606878,Low
297,PWGUMTA,High,Long term,113078,High,Yes,IRA,49,Novice,728547,High
298,ICOPI,Moderate,Long term,142108,High,No,401k,39,Novice,401100,Low
299,YTBRALRZ,High,Long term,108408,High,No,IRA,51,Experienced,619500,Low
300,ULGOY,Moderate,Long term,85169,Moderate,Yes,IRA,59,Novice,417297,Moderate
301,NNHVVSB,Moderate,Long term,81674,High,No,IRA,41,Experienced,976795,Low
302,JVLZXKMWX,Low,Short term,103692,Moderate,No,401k,51,Novice,988405,Low
303,DLNWVKJOX,Moderate,Short term,185614,Low,Yes,Taxable,67,Novice,940711,Moderate
304,ONDVYNC,High,Long term,155590,Low,Yes,IRA,71,Novice,765986,Moderate
305,HUADA,High,Short term,125105,High,No,IRA,56,Experienced,329614,Moderate
306,XZHGP,Low,Short term,93411,Low,No,Taxable,28,Novice,162090,Low
307,DMRCJRZ,Low,Short term,179495,Moderate,No,401k,62,Experienced,681474,Low
308,NBGVIIAX,High,Long term,112813,Low,No,Taxable,46,Experienced,307638,Moderate
309,XBJECFTG,Low,Medium term,99791,Moderate,No,IRA,38,Novice,951101,Moderate
310,UYSXLR,Moderate,Long term,79465,Low,Yes,401k,60,Experienced,383315,Low
311,MUWRRFXL,High,Long term,83021,Low,Yes,IRA,54,Novice,700709,High
312,MHJCDUDN,High,Short term,151120,Moderate,Yes,Taxable,62,Experienced,695946,Moderate
313,EJIHRDX,Moderate,Long term,170159,Low,Yes,401k,69,Experienced,649289,Low
314,BVHOH,Moderate,Short term,104551,Low,Yes,Taxable,52,Novice,521412,High
315,DUCPEU,Moderate,Medium term,72928,Moderate,No,IRA,55,Novice,148600,Low
316,XUZYOV,Low,Medium term,114952,Moderate,Yes,Taxable,40,Novice,445337,High
317,ENWNMOKUM,Low,Short term,94304,High,No,401k,71,Novice,963635,Moderate
