CompanyID,Company,Size,Profit,Industry
127,MRHFZZXN,394,64,Finance
128,YUASXCCP,407,47,Tech
129,WINLQERV,192,75,Tech
130,VGJBGM,101,50,Health
131,HAWASDU,448,55,Health
132,SMJGLK,384,52,Finance
133,PDSALJQ,56,22,Finance
134,UCPJELQKS,148,57,Tech
135,NPXXZFBR,67,44,Finance
136,DNFVUPQTF,378,28,Tech
137,SXIRIUO,491,50,Tech
138,LXDNE,359,64,Finance
139,MWILANKOH,436,10,Finance
140,ILXSIEI,131,27,Health
141,VEYMDH,287,21,Tech
142,VYXWJPCQX,133,38,Health
143,XXKKQEQLZ,210,31,Health
144,IGNVS,117,65,Tech
145,FASPNNNFT,279,81,Finance
146,PSSBIXZU,429,93,Tech
147,TDFLS,164,12,Health
148,YOPBW,73,78,Health
149,MFMIFFKG,247,89,Tech
150,SBFZLY,212,19,Finance
151,MYUGPTB,156,69,Tech
152,BJVJYJ,477,12,Finance
153,ZOACDAIF,89,68,Tech
154,EADXIOVY,253,22,Finance
155,NNJXDTWXW,248,98,Finance
156,XEJYK,403,14,Finance
157,SGXMD,52,73,Health
158,RUUBTQHQV,210,25,Tech
159,MXUONGTXN,262,42,Finance
160,RDHPQPH,63,50,Health
161,CTRPQCN,326,96,Health
162,YFAGNGFBA,211,77,Health
163,FRNFYCY,233,28,Finance
164,EMXNSHTCQ,223,75,Tech
165,NRHBDXRH,286,72,Tech
166,LZRPVP,449,27,Tech
167,NADMDRH,353,21,Health
168,WNPKSN,472,56,Health
169,NPTBI,498,81,Tech
170,FDVBSAOKK,149,61,Tech
171,ERMDMILNJ,101,97,Finance
172,POESX,192,33,Health
173,TEWOQQ,113,67,Tech
174,OJHFE,134,46,Health
175,NFYSRZ,205,23,Health
176,CNPJDDS,390,71,Tech
177,QGCDWP,455,95,Finance
178,FRQHZRYV,415,27,Finance
179,FRXCQ,220,56,Finance
180,GYMOV,474,23,Tech
181,AWTET,428,89,Finance
182,SHVPRP,289,21,Finance
183,YUFNTLV,365,53,Finance
184,AOOZIBJEN,421,13,Finance
185,HUCFTWBEX,228,28,Tech
186,ZXNLFYBGX,448,41,Finance
187,ZBAQQA,338,30,Finance
188,JMCWYHL,475,26,Tech
189,CKZMUD,441,63,Finance
190,IQAISEA,490,53,Health
191,TASGPBLZH,187,85,Finance
192,HJMSIZMJC,375,25,Tech
193,SILOZBEKK,243,49,Tech
194,VMVQQR,98,33,Tech
195,YZEVFFID,200,12,Tech
196,OMIOUKTQS,359,61,Health
197,GOJEO,114,53,Health
198,NOXPQE,139,34,Finance
199,WOOOQ,122,42,Health
200,PQWSKZ,417,53,Finance
201,STEQK,186,15,Health
202,FNCUDF,244,76,Health
203,VHNCBLE,275,24,Health
204,CIJSQ,342,12,Tech
205,EKJJTQ,437,26,Tech
206,JYMSM,469,64,Health
207,XLMDGVATW,393,61,Health
208,IVJMIIGV,259,53,Finance
209,UTMBJVVEW,236,72,Health
210,YBDUHEST,200,26,Finance
211,ZMJUHT,183,86,Tech
212,JNKKPHOUC,333,11,Health
213,CSWHGQ,288,66,Finance
214,BMDPQYXOE,309,38,Health
215,ECBXB,342,92,Health
216,OJABR,255,75,Tech
217,TXYYXG,316,13,Finance
218,ZWFZRDVZD,472,68,Finance
219,OYWDK,217,72,Tech
220,LMMHYE,328,43,Finance
221,SMHMOM,203,76,Health
222,DHHRN,133,12,Health
223,YESKE,124,86,Health
224,HWVIJJKHP,396,76,Finance
225,NCSGSAE,499,88,Finance
226,NVULUE,226,52,Tech
227,OHRCFWQYA,172,71,Finance
228,HNERR,434,24,Finance
229,YKJMLSDA,261,66,Health
230,LNYXCHLH,78,48,Finance
231,UJWZNDDP,451,29,Tech
232,CDMZGLNC,72,25,Tech
233,WFUWNIPL,87,15,Health
234,FHRBALKY,139,83,Tech
235,MRQJAG,451,36,Finance
236,XWSBPGUJY,174,91,Finance
237,NOQRXUQZ,193,58,Health
238,DCSFKRT,305,58,Health
239,QTQHSKNLI,370,24,Health
240,RWONAKSJZ,384,96,Tech
241,INYCOGD,228,42,Tech
242,IUQXXHEZM,382,99,Health
243,SPCBCQV,239,81,Health
244,XTORF,144,97,Finance
245,POWGMES,350,88,Health
246,QYIHGQVO,116,82,Finance
247,GLXEQAB,146,90,Finance
248,EPJGAWAE,57,59,Finance
249,YKRWMDCCN,209,94,Health
250,DVGFJSJ,157,57,Tech
251,UHCHEKXZ,472,87,Finance
252,AEMOJ,306,74,Health
253,IXFTUGI,336,22,Health
254,SXJIT,324,51,Health
255,MJBNKTMKZ,217,46,Finance
256,YXXLE,255,15,Finance
257,TMQMIRW,297,80,Tech
258,MSBXCUIA,285,45,Finance
259,FOBHTTOG,393,40,Finance
260,VMUPPWTTM,119,28,Health
261,GVJNTQK,419,52,Finance
262,UCKPHGK,263,10,Tech
263,AWOCN,203,55,Finance
264,GHCUUKZLR,271,94,Health
265,LJDBR,454,75,Health
266,LVCWTGRAB,211,71,Health
267,DWXVRTSO,86,79,Health
268,CKVFNVEJH,105,14,Health
269,MRWCST,79,15,Tech
270,MCGOSY,60,33,Health
271,SLWYR,335,87,Health
272,ATFCJ,417,23,Health
273,YINABVVF,375,26,Tech
274,XXIHMUQ,276,44,Tech
275,ZPTCLLLE,421,79,Tech
276,GDGIP,73,88,Tech
277,DLGYO,255,27,Health
278,REOSCLD,362,55,Finance
279,WFUZMDBTL,171,45,Tech
280,OFYSPM,438,81,Health
281,PTDYWSFCP,179,23,Finance
282,YMRHMTPP,229,63,Tech
283,AKSZTTRNF,170,57,Tech
284,UQUVU,120,67,Health
285,UZEALMVM,495,50,Tech
286,DBKNEIT,313,45,Finance
287,IOYGVE,366,32,Finance
288,IROEC,346,68,Finance
289,SLTLRC,460,85,Finance
290,BOJZKRSL,364,90,Tech
291,FQKJSTWMF,201,59,Health
292,OKBHOFCSL,137,62,Finance
293,GCDRVBKM,321,55,Finance
294,NNOSW,491,35,Finance
295,QMWFAPAX,78,96,Finance
296,PEMGKREN,103,28,Finance
297,HEUXWBIQE,123,36,Finance
298,EHOWQY,355,76,Finance
299,CFJQVAHTC,113,67,Health
300,CUTUS,73,94,Finance
301,UJTIZYE,282,20,Health
302,JBOPWWZBX,185,67,Health
303,DMDBEYU,388,33,Finance
304,TZGJB,319,63,Tech
305,PEMTEVFZG,61,70,Tech
306,HBNQA,216,56,Finance
307,RDHVGUJKK,432,39,Health
308,VKIRR,195,87,Finance
309,ONREM,444,57,Finance
310,NVTOAW,438,12,Tech
311,UEAHEACL,317,58,Finance
312,IFNHXVQ,457,29,Tech
313,DYOBRFQSN,71,28,Health
314,TOSOFCTPQ,179,72,Finance
315,SPQHGFO,416,30,Finance
316,PCCDMUO,125,36,Finance
317,ZZRYXGOAS,163,12,Health
318,RBETDG,92,92,Health
319,QWYLN,203,49,Finance
320,IJBSDR,253,17,Health
321,MKQYWOKU,159,36,Tech
322,XWOMM,195,81,Tech
323,WQCWPVETV,288,81,Health
324,FAPUTUPKU,174,58,Health
325,OSSNHL,163,77,Finance
326,LNQFBD,388,19,Tech
327,YLGAY,252,24,Finance
328,QDXOQ,462,50,Finance
329,WDHGDVV,380,58,Finance
330,ZVVTCFQKV,138,99,Tech
331,PLEHDR,167,10,Finance
332,HMEWLIHCD,359,39,Finance
333,YCWWNS,153,83,Finance
334,SHQSMZ,239,26,Finance
335,INREBSTS,69,54,Health
336,VEPAMLJU,445,18,Health
337,ZLFZBCR,232,99,Finance
338,AUABW,62,15,Tech
339,RYCFZDWK,189,32,Finance
340,HCCBLY,436,96,Finance
341,MSUUGBUGS,431,79,Finance
342,FSFKDAMKU,175,90,Health
343,CETEO,175,52,Finance
344,XSIWWA,73,83,Finance
345,JGGGUP,270,22,Tech
346,MMLWN,235,58,Health
347,BASBSW,252,80,Tech
348,FXMYEW,262,72,Finance
349,CXZJI,152,65,Health
350,GGBSAG,258,27,Tech
351,JKEXCL,348,68,Health
352,BGHVPTUH,108,68,Finance
353,PBRDEDT,227,26,Health
354,PSCEI,498,79,Tech
355,TPXTQ,304,71,Tech
356,JMDFM,277,55,Finance
357,LYCMOUV,192,97,Health
358,DUUYBJB,439,33,Health
359,APUCZDM,433,56,Finance
360,SYGGUQSOG,326,87,Health
361,BGBSCKUDF,470,75,Tech
362,QJVOBQO,465,27,Health
363,RJUKW,336,23,Health
364,DSJTB,445,71,Tech
365,LWZXN,205,38,Finance
366,UHSNVKSI,231,31,Tech
367,ZFTQX,55,36,Finance
368,UEGNPPKP,118,16,Tech
369,PZIIP,107,66,Tech
370,LZTLUQ,498,49,Tech
371,MOKHFFKGM,128,89,Health
372,XCQYE,205,49,Tech
373,MJIRHCVP,491,48,Health
374,TJMZR,81,30,Finance
375,JWWUZXTIY,63,10,Health
376,RJAJIOWH,364,31,Tech
377,WLQSN,482,43,Health
378,FCCKYF,363,44,Finance
379,ZXBGWE,261,61,Finance
380,BETWIKBIC,293,56,Health
381,CCLNFNXL,493,15,Tech
382,RPVIQ,168,33,Tech
383,OZTCWHP,59,29,Finance
384,TZFCQFC,95,28,Tech
385,QYZLHVTII,342,78,Finance
386,IRZQXNQHR,460,90,Health
387,OJEEVC,306,45,Health
388,BLEPKFLHC,324,53,Health
389,DQCKV,151,22,Health
390,NBEIHNIW,371,60,Health
391,ZXJPAQU,83,17,Health
392,KXIDN,270,59,Finance
393,NYSEHGBE,108,88,Finance
394,HOJAPKPYC,386,22,Tech
395,IJYUNB,157,65,Health
396,KPUPHAGE,204,13,Tech
397,SNSWD,181,14,Finance
398,IORBXU,346,81,Tech
399,AQEQVQIDY,277,22,Tech
400,VVRMUUCFW,297,60,Finance
401,DUUKILQRT,239,44,Health
402,GSJHHW,131,47,Health
403,CMTTF,441,62,Health
404,TGWACY,429,63,Tech
405,KIQQHEZ,308,13,Finance
406,SOWKJ,103,68,Health
407,OGWZI,263,35,Finance
408,AHOQM,171,24,Finance
409,IIPDB,244,71,Tech
410,QRJIM,277,79,Health
411,FOMZPM,81,35,Health
412,XKVZTAGG,436,22,Health
413,DHZYSIUW,439,30,Health
414,SYAGII,141,90,Finance
415,TXMLB,291,41,Health
416,KALJFWK,366,67,Finance
417,RDMQQ,178,99,Health
418,BBCHBU,136,79,Finance
419,MULFWIQRB,286,89,Health
420,JBOYZU,347,11,Finance
421,QUEDYMBJB,411,29,Tech
422,ISWOOBK,362,67,Tech
423,SKBFCSDCA,440,97,Health
424,CQDLPE,135,22,Tech
425,GRTXH,480,59,Health
426,RDJUPCS,342,60,Tech
427,QCRXGX,431,40,Tech
428,MAKVURWAN,82,85,Health
429,IMWPQW,205,89,Finance
430,ZJFHYUR,392,56,Finance
431,GGLFNUE,201,90,Health
432,DSRQE,114,80,Health
433,JDDDC,92,16,Health
434,OSWLH,382,86,Health
435,XBFGPAE,428,59,Tech
436,SEPEULHX,160,40,Health
437,PYNNCAZI,264,28,Health
438,REUHJ,146,53,Finance
439,EMXYWGXWT,162,65,Health
440,FDWXLF,86,60,Health
441,DXBEBDWR,234,51,Finance
442,FTHXW,200,38,Finance
443,MMWWQ,122,17,Tech
444,HIIIZYH,170,79,Tech
445,LQSBBK,173,60,Finance
446,VXQLP,140,40,Health
447,AKFNNZD,425,35,Tech
448,ISRIEAVIE,297,96,Finance
449,AQAEUWTMM,142,80,Tech
450,AHPBVVZV,145,69,Health
451,SXKACD,377,20,Tech
452,EVIDNIEY,303,20,Tech
453,XNKOFTLP,276,94,Tech
454,OFJYXZR,166,54,Health
455,CICWNSGW,368,89,Tech
456,WYDLRWDF,115,41,Health
457,EZBDVKUXI,343,88,Finance
458,WJSVMDFCZ,373,56,Health
459,JVYGR,245,40,Health
460,CLRYZIV,256,81,Tech
461,VXVOA,66,42,Finance
462,LKAJI,294,17,Health
463,FJCAX,162,53,Finance
464,CZJRO,244,50,Health
465,SHMULPL,186,70,Health
466,GMXBKFEAN,180,68,Tech
467,RBXQT,499,43,Tech
468,VIPQEPK,408,74,Tech
469,SEWJXLO,388,63,Tech
470,UGLYEYV,286,87,Tech
471,ZRMSCF,413,64,Finance
472,JKLQXLKV,54,42,Finance
473,GSBHU,460,40,Tech
474,JBZKQHMNB,230,11,Finance
475,VYQRX,453,80,Health
476,MCEYGOZZD,343,84,Finance
477,HMTAVJ,452,20,Tech
478,NXAAQL,109,84,Health
479,BJGCM,154,86,Finance
480,OBCFAY,185,12,Health
481,WGBDKI,442,41,Health
482,NOLLUGBV,250,38,Health
483,ISCUXBYAH,452,44,Tech
484,UFOKAK,477,83,Finance
485,AGLOZZEPZ,491,58,Health
486,PYLDXE,226,33,Tech
487,YDHYCG,335,47,Health
488,TVOOTQ,157,24,Finance
489,TDNTJ,336,85,Health
490,BKAKJQGNX,336,45,Tech
491,AEFXR,105,76,Finance
492,LRUXVAXIT,447,33,Tech
493,TAXTHPPFQ,163,61,Health
494,QOVLQPM,387,11,Finance
495,HGRTA,434,89,Finance
496,WHHHASWHH,327,41,Finance
497,WYPEUFAS,420,43,Health
498,GWEUWOFSM,212,42,Health
499,NYAHQAJIJ,467,37,Tech
500,VOKPSRFV,65,92,Finance
501,FBADGRTBB,429,35,Health
502,XHICIHQC,255,42,Tech
503,NPXAK,221,63,Health
504,ESXEQCGU,377,10,Finance
505,KAHLNR,78,80,Health
506,HPLMXQS,435,96,Tech
507,VGCXBOX,221,61,Tech
508,HDMHM,110,65,Tech
509,DDMBWAP,357,94,Health
510,HVHDXG,176,64,Tech
511,MKWQYGN,419,11,Tech
512,FQEDDR,430,75,Tech
513,BPLTA,210,69,Finance
514,UAISFTH,132,15,Health
515,YEBWSNO,193,56,Tech
516,VLRJHHSW,478,31,Health
517,KKJBI,141,66,Finance
518,QEAVYX,245,12,Finance
519,SSDGI,220,36,Finance
520,XXLVS,323,79,Finance
521,HGIGRFE,174,11,Health
522,ROKFHIK,457,32,Health
523,ZKVTFWFZF,410,70,Finance
524,FHYSDKDDF,445,40,Health
525,TFPPVO,296,21,Health
526,NQVJMAIGK,464,88,Finance
527,BUVTFIVBS,484,24,Health
528,JRAUBXX,110,70,Finance
529,SJVHTK,447,22,Finance
530,NXTYPNU,318,46,Finance
531,KUGUU,54,71,Health
532,FCSIVCBS,382,68,Tech
533,LQWZXIPKQ,224,72,Health
534,ENVUKV,484,66,Finance
535,WTJXLVP,279,72,Health
536,GOWFB,219,28,Tech
537,VXCCEHZ,394,68,Tech
538,ORYPLI,72,55,Health
539,QHWJCG,403,88,Tech
540,YLMDB,459,43,Finance
541,SZPNJMFIG,61,31,Health
542,CTYRSL,499,61,Tech
543,BSVESKOT,293,44,Tech
544,TXHWU,377,75,Tech
545,EERYH,181,73,Finance
546,GMVJBOEXG,85,74,Health
547,GEXBU,171,38,Health
548,DXWDVPT,244,84,Health
549,FHUGNR,384,26,Tech
550,YAICZNZB,478,24,Health
551,LJNBDMTV,470,14,Finance
552,XPLVQCAX,63,28,Tech
553,GBQWWJCA,425,38,Tech
554,CUSON,114,68,Finance
555,JQCIF,343,54,Tech
556,GRYZRI,278,86,Tech
557,NDPQD,89,78,Tech
558,UZRTHSAD,285,91,Finance
559,DYCLRBDI,496,94,Tech
560,CTVDDOD,249,23,Health
561,UZSTTKY,202,27,Health
562,AAMKYJH,130,99,Tech
563,GBRJQBB,308,16,Tech
564,PTSPMZHK,483,81,Tech
565,PINRKCG,151,22,Tech
566,SAIJSG,228,89,Finance
567,XTFOHH,185,21,Health
568,UNGHCX,117,19,Health
569,BBUMQC,359,76,Health
570,KVKYDO,287,42,Finance
571,HTIYIFQWD,122,51,Tech
572,LQXPP,235,67,Tech
573,OACUXSJOI,340,39,Tech
574,GFZPXBIX,168,57,Health
575,ZZOJQW,314,53,Tech
576,JYICBV,299,40,Tech
577,SRDVERBQG,460,23,Health
578,QYZTNHAP,412,93,Finance
579,QCTQM,119,28,Finance
580,QTYQTT,253,65,Tech
581,EIWLW,278,24,Health
582,EBAGTFW,346,23,Finance
583,PYFIK,420,29,Health
584,MUMBZDKQ,343,59,Health
585,DETXE,129,40,Finance
586,DCZBHL,253,39,Finance
587,PPUSSOVP,121,97,Tech
588,JOENK,323,26,Finance
589,CMGHRPP,279,37,Finance
590,UGNGZPKA,174,56,Tech
591,JVXUFBRY,497,53,Health
592,DCSKOE,234,11,Tech
593,OKSBEEZMY,318,96,Tech
594,FLFPJK,413,68,Tech
595,LVHYQDKCQ,403,87,Finance
596,FVTFCTGG,129,15,Finance
597,RIYFX,298,17,Health
598,ZDUBT,493,63,Tech
599,GWVJWR,261,51,Health
600,FOTCCDMLV,75,38,Health
601,CTLWARVHL,338,42,Health
602,WXFDUGG,482,53,Tech
603,GEQTVX,121,84,Tech
604,ARQKCWHI,291,28,Finance
605,NWJFQT,395,15,Tech
606,WUDWLFPFB,355,69,Tech
607,APZPTGA,363,64,Finance
608,VCKRLZMY,371,88,Finance
609,HYMKIW,138,79,Tech
610,XGPYDRUB,82,95,Health
611,BJYQKGU,350,41,Finance
612,FSBTZLNCH,471,52,Health
613,ACAQJJOPI,297,84,Tech
614,NEXAZ,182,29,Finance
615,PFGWK,399,63,Tech
616,MHOVB,439,45,Health
617,XUAGMPPF,130,63,Finance
618,DYQFVSM,256,99,Tech
619,CMGVT,281,67,Health
620,FNALUTLK,150,43,Tech
621,TPXZDV,341,78,Health
622,SXCONBMNN,307,26,Finance
623,XMZVGW,320,37,Finance
624,CVAFBHESY,345,69,Health
625,ZBMVOC,415,90,Finance
626,UOWXLIRY,136,47,Health
627,SZLQBSKW,442,16,Tech
628,GSWJRG,412,45,Tech
629,XSTGMKC,304,47,Health
630,BNITWU,203,35,Finance
631,ZVTWO,258,93,Tech
632,NJJSPZ,279,33,Health
633,OOKXC,63,11,Finance
634,DKQLWUAW,442,61,Tech
635,RCZJV,131,53,Tech
636,WRKWZXDAM,154,44,Tech
637,SENDKGX,254,18,Tech
638,QUMZIIOON,369,90,Health
639,WFIEIP,105,61,Tech
640,RSJNB,199,87,Health
641,IFBITU,456,79,Tech
642,IHARB,409,54,Tech
643,FEYDWXR,424,34,Finance
644,WJZIHL,480,23,Finance
645,OZAFGL,157,43,Tech
646,OMRBHGM,247,94,Tech
647,OWYAWDB,354,67,Health
648,IBAYFWYX,218,68,Health
649,WMTLK,279,16,Finance
650,XWWCAIEVU,436,71,Health
651,UUPKTWKPP,106,43,Tech
652,SYULT,278,62,Health
653,YTXVOP,116,66,Finance
654,TRSCYSQHD,463,22,Tech
655,SGWLB,51,55,Finance
656,ZTIQHAU,341,92,Finance
657,LKMJHZ,196,23,Finance
658,BQZPZUBPA,155,48,Health
659,MCSNYRR,91,50,Tech
660,SQSRJEB,213,55,Tech
661,JZTLZ,189,88,Tech
662,NUJYFLER,81,78,Health
663,VAVGP,257,29,Finance
664,XZHYVY,470,51,Finance
665,LPFCZCOZQ,67,34,Tech
666,JECDYSUS,197,36,Tech
667,BPJPQO,218,56,Finance
668,SGDICBTP,120,42,Tech
669,EHPJJRH,182,19,Health
670,TBKSGLD,425,26,Finance
671,XNCQVE,453,51,Finance
672,FOTCHP,321,22,Tech
673,BERDE,122,43,Finance
674,JYMOW,51,76,Tech
675,OVWYQUHWU,177,59,Finance
676,IDMJUWHPN,467,67,Health
677,RPCGCBN,287,15,Finance
678,AHXJSFQR,99,33,Health
679,HZJEBC,185,31,Health
680,IEQYZGL,196,81,Finance
681,YHKTFSAB,281,21,Tech
682,QDYYUQKOG,296,32,Health
683,OYKASKVAF,239,76,Finance
684,AKMDD,165,25,Health
685,AEKUHKRYD,324,71,Tech
686,LTKOLHDH,59,83,Health
687,YDMNAX,222,52,Finance
688,PGCIP,388,58,Finance
689,WNDWD,409,42,Tech
690,NWWQNRBTE,126,86,Health
691,GVQZET,419,99,Health
692,RAHZWDA,343,92,Finance
693,QPXPSIR,150,67,Tech
694,UHRLLO,137,68,Tech
695,IIHANP,474,33,Tech
696,UKAMFWVK,294,71,Finance
697,FJCWE,352,91,Health
698,RNNGCOPH,485,83,Finance
699,CWSGGX,315,35,Tech
700,SBRWQBIP,273,52,Tech
701,MVAFMKPTG,444,40,Tech
702,KGATLNHZI,328,73,Tech
703,FMATNCKS,375,39,Health
704,PVEFOVSP,99,35,Health
705,SPKVTDV,195,38,Finance
706,NBZCADGAY,171,39,Tech
707,IRVDYBY,435,15,Tech
708,XBSYZMH,154,39,Tech
709,VFZNIUDJ,284,55,Finance
710,WOFJPVPVB,475,14,Tech
711,PUCRO,173,60,Health
712,XMGNGYN,210,90,Tech
713,TLPKQP,237,26,Health
714,QQUFEX,388,66,Health
715,PLXYICSK,223,75,Tech
716,KAQNHLG,331,86,Tech
717,IUFMRJKZ,418,89,Finance
718,GIHDR,326,72,Health
719,HTACRM,498,19,Tech
720,XPAKQKNTM,109,30,Tech
721,NZDTLYA,344,37,Tech
722,USTRV,481,96,Tech
723,EOPTUUSW,57,59,Tech
724,WAPTREGA,175,90,Health
725,XMZGOXOC,250,84,Health
726,IKDGQB,250,54,Tech
727,USDRPPMQW,85,42,Tech
728,SSOPOG,382,56,Tech
729,KBJJKIE,482,44,Health
730,PMAVCDIEJ,212,41,Tech
731,NCBHVGEE,153,66,Finance
732,RTKASL,458,39,Health
733,OEDBKYUV,296,73,Health
734,OVBNAIG,50,18,Tech
735,BYGLMPMU,347,19,Tech
736,DBMJIYZX,167,61,Tech
737,GIJJI,95,67,Tech
738,RAGRQCUHL,85,19,Health
739,LCLPR,248,50,Finance
740,UEZPUJT,444,70,Tech
741,PHMNYVINX,323,85,Finance
742,BTFAJH,327,85,Finance
743,QOEJXET,439,76,Health
744,EIXCVZM,235,13,Tech
745,GBSLOAHZQ,434,69,Tech
746,XHWID,479,92,Tech
747,KLHVOBP,199,35,Tech
748,AQPSRB,406,51,Finance
749,IVAKHPJB,479,48,Health
750,HPBMIWSPE,295,88,Finance
751,MRYATJXN,351,96,Finance
752,OLYIZXU,69,12,Tech
753,TCBCY,302,68,Tech
754,EXXRK,346,16,Finance
755,SENWNOUA,164,61,Health
756,WIOOIFTO,328,59,Health
757,JLFLQ,478,17,Finance
758,ANBHOPCYE,299,57,Finance
759,HXGNNRH,217,54,Finance
760,LARONCJX,285,11,Tech
761,ORQIDCW,292,28,Tech
762,IXDDQOD,295,87,Finance
763,PCBGKSYF,266,60,Tech
764,UIDDJLYK,228,26,Tech
765,ZDQIAVYQD,229,23,Tech
766,OROYEFQZ,438,37,Health
767,IDBQMXLN,484,23,Tech
768,IOVKYOZAH,78,82,Finance
769,PWYFYDYWN,55,10,Tech
770,CXIEZXSAU,64,75,Finance
771,SNWOIQW,299,72,Health
772,GGWEX,259,73,Tech
773,FDWGYWGN,434,94,Finance
774,ABFBAWJ,216,99,Health
775,JEMTFZT,315,71,Finance
776,SMUJOHW,193,59,Finance
777,WADCH,206,65,Finance
778,UCRQSTL,490,65,Tech
779,FSBBS,166,82,Health
780,EIMSDAH,97,85,Finance
781,WDKXNHZM,278,19,Tech
782,ZWHPML,267,98,Finance
783,PXSZQZVH,203,68,Finance
784,COYED,310,56,Finance
785,MYLNODN,468,19,Tech
786,MJILV,334,73,Health
787,LISDWK,204,76,Health
788,WSRVOIE,230,33,Tech
789,CTLJBR,360,19,Tech
790,RBNFOC,343,13,Tech
791,YDEZX,211,66,Health
792,NJTHRNONA,427,30,Tech
793,WMRFTPMCK,382,35,Health
